I.D_code,Latitude,Longitude,Elevation,Date,Time
SBP3Z3Q4,-19.71290697,29.32182798,1340.753418,2024-04-13T07:23:58Z,
SBP3Z3Q5,-19.71290798,29.32169303,1336.334106,2024-04-13T08:37:43Z,
SBP3Z4CR0,-19.71321903,29.32201398,1333.68811,2024-03-26T13:55:15Z,
SBP3Z4CR3,-19.71260397,29.321702,1337.332764,2024-04-13T08:45:46Z,
SBP3Z4CR0,-19.71290899,29.32151098,1332.721436,2024-03-26T14:08:56Z,
SBP3Z4Q1,-19.71286196,29.32186796,1340.123047,2024-04-13T07:28:04Z,
SBP3Z4Q2,-19.71274403,29.32165104,1336.855591,2024-04-13T08:41:51Z,
SBP3Z4Q3,-19.71264697,29.321701,1337.06189,2024-04-13T08:46:31Z,
SBP3Z4Q4,-19.71276004,29.32192898,1337.989502,2024-04-13T08:09:45Z,
SBP3Z4Q5,-19.71272701,29.32179202,1339.449219,2024-04-13T08:54:39Z,
SBP4Z1,-19.71252199,29.32128198,1338.651367,2024-03-27T12:53:26Z,
SBP4Z1CR1,-19.71279499,29.32116003,1344.035889,2024-04-13T09:38:51Z,
SBP4Z1CR2,-19.71273799,29.32086599,1345.117676,2024-04-13T09:45:47Z,
SBP4Z1CR3,-19.71256902,29.32095501,1346.829346,2024-04-13T09:50:43Z,
SBP4Z1CR4,-19.71261696,29.32125198,1346.699219,2024-04-13T09:54:59Z,
SBP4Z1Q1,-19.71276004,29.32115701,1343.336182,2024-04-13T09:40:02Z,
SBP4Z1Q2,-19.71273699,29.32090497,1344.907837,2024-04-13T09:46:16Z,
SBP4Z1Q3,-19.712609,29.32097697,1346.410645,2024-04-13T09:53:13Z,
SBP4Z1Q4,-19.71264797,29.32120303,1346.648315,2024-04-13T10:01:41Z,
SBP4Z1Q5,-19.71265904,29.32104503,1346.598389,2024-04-13T10:02:37Z,
SBP4Z2CR0,-19.71247598,29.32097596,1338.364868,2024-03-27T12:55:17Z,
SBP4Z2CR3,-19.71247799,29.320982,1339.15686,2024-04-13T12:28:51Z,
SBP4Z2CR4,-19.71250297,29.32128098,1340.210449,2024-04-13T12:07:43Z,
SBP4Z2Q1,-19.712639,29.32120596,1340.517456,2024-04-13T12:06:15Z,
SBP4Z2Q2,-19.71258502,29.320969,1339.143799,2024-04-13T12:18:19Z,
SBP4Z2Q3,-19.71249299,29.321011,1338.09729,2024-04-13T12:33:15Z,
SBP4Z2Q4,-19.712524,29.32126103,1340.208984,2024-04-13T12:08:25Z,
SBP4Z2Q5,-19.71257304,29.321097,1338.55896,2024-04-13T12:35:38Z,
SBP4Z3CR0,-19.71239098,29.320695,1338.85144,2024-03-27T12:57:59Z,
SBP4Z3CR2,-19.71268997,29.32053097,1334.120239,2024-04-13T13:30:14Z,
SBP4Z3Q1,-19.71272903,29.320767,1332.059082,2024-04-13T13:24:25Z,
SBP4Z3Q2,-19.71268301,29.32057799,1333.445923,2024-04-13T13:31:01Z,
SBP4Z3Q3,-19.712595,29.320623,1333.318848,2024-04-13T13:36:35Z,
SBP4Z3Q4,-19.71263498,29.32089499,1333.551514,2024-04-13T13:54:03Z,
SBP4Z3Q5,-19.71267404,29.32074001,1333.005615,2024-04-13T13:45:44Z,
SBP4Z4CR0,-19.71268301,29.32056298,1337.476318,2024-03-27T13:00:02Z,
SBP4Z4CR3,-19.71241001,29.32070397,1336.134888,2024-04-13T14:09:00Z,
SBP4Z4Q1,-19.71256801,29.32089902,1338.666016,2024-04-13T12:23:16Z,
SBP4Z4Q2,-19.71255996,29.32066298,1332.894287,2024-04-13T13:40:01Z,
SBP4Z4Q3,-19.71243901,29.32071797,1334.83252,2024-04-13T14:10:01Z,
SBP4Z4Q4,-19.71265099,29.32120202,1346.157104,2024-04-13T09:55:47Z,
SBP4Z4Q5,-19.71253599,29.32083003,1334.480957,2024-04-13T14:04:19Z,
SBP5Z1,-19.71330503,29.32084403,1336.931885,2024-03-27T13:16:06Z,
SBP5Z1CR1,-19.71318802,29.32085803,1336.851685,2024-04-14T06:47:08Z,
SBP5Z1CR2,-19.71335599,29.32079399,1338.618042,2024-04-14T06:59:08Z,
SBP5Z1CR3,-19.71325398,29.32049199,1340.29834,2024-04-14T07:18:30Z,
SBP5Z1CR4,-19.71310403,29.32058302,1339.976196,2024-04-14T07:43:13Z,
SBP5Z1Q1,-19.71320998,29.32084302,1338.105103,2024-04-14T06:55:17Z,
SBP5Z1Q2,-19.71331299,29.32077899,1338.456421,2024-04-14T07:01:18Z,
SBP5Z1Q3,-19.71325499,29.32055896,1340.21228,2024-04-14T07:20:49Z,
SBP5Z1Q4,-19.71338198,29.32076197,1339.00061,2024-04-14T07:08:16Z,
SBP5Z1Q5,-19.71324602,29.32069902,1340.657349,2024-04-14T07:48:03Z,
