Site,Spp_name,Max_Height,Stem_count
A,Bolusanthus Speciosus,1.4,4
A,Combretum Hereroense,1.6,2
A,Diplorhynchus Condylocarpon,1.5,1
A,Combretum Hereroense,2.3,4
A,Peltophorum Africanum,1.4,4
A,Combretum Hereroense,0.45,2
A,Vachellia Gerrardii,0.35,2
A,Peltophorum Africanum,0.6,3
A,Ziziphus Mucronata,1.5,2
A,Combretum Imberbe,1.3,2
A,Vachellia Gerrardii,0.45,1
A,Dichrostachys Cinerea,0.8,2
A,Warburgia Salutaris,2.7,1
A,Ozoroa Insignis,2.7,1
A,Carissa Bispinosa,1.4,3
A,Vachellia Gerrardii,0.6,3
A,Carissa Bispinosa,2.1,2
A,Cassia Abbreviata,0.6,1
A,Fluegga Virosa,0.8,4
A,Peltophorum Africanum,1.6,6
A,Piliostigma Thonningii,1,1
A,Combretum Imberbe,2.5,4
A,Peltophorum Africanum,1.6,7
A,Gymnosporia Senegalensis,2.2,2
A,Warburgia Salutaris,0.7,2
A,Combretum Imberbe,2.8,3
A,Peltophorum Africanum,2.1,7
A,Peltophorum Africanum,2.1,4
A,Bolusanthus Speciosus,1.9,8
A,Combretum Imberbe,1.5,1
A,Combretum Imberbe,2.3,1
A,Vachellia Nilotica,0.7,1
A,Carissa Bispinosa,0.5,5
A,Vachellia Gerrardii,2.3,2
A,Ozoroa Insignis,0.6,1
A,Vachellia Nilotica,1,3
A,Vachellia Gerrardii,1.6,4
A,Piliostigma Thonningii,0.4,2
A,Dichrostachys Cinerea,0.8,3
A,Bolusanthus Speciosus,1.6,6
A,Grewia Decomovulata,0.8,1
A,Grewia Decomovulata,1.2,2
A,Vachellia Gerrardii,1.8,2
A,Grewia Monticola,0.6,1
A,Dalbergia Melanoxylon,0.6,1
A,Berchemia Zeyheri,0.9,1
A,Lippia Javanica,0.8,8
A,Combretum Hereroense,1,4
A,Euclea Divinorum,0.6,3
A,Combretum Hereroense,2.5,3
A,Bolusanthus Speciosus,1.2,5
A,Peltophorum Africanum,1.1,3
A,Bolusanthus Speciosus,2,11
A,Warburgia Salutaris,1.2,2
A,Fluegga Virosa,1.2,3
A,Berchemia Zeyheri,1.4,3
A,Combretum Imberbe,1.3,7
