Site,Plot,Subplot,Quadrat,Spp_name,DPM Height
B,1,Z3,Q2,Eragrostis gummiflua,10.7
B,1,Z3,Q2,Heteropogon contortus,11.9
B,1,Z3,Q2,Eragrostis superba,10.6
B,1,Z3,Q2,,9.7
B,1,Z3,Q3,Aristida congesta B,7.3
B,1,Z3,Q3,Eragrostis superba,8.8
B,1,Z3,Q3,Heteropogon contortus,12.3
B,1,Z3,Q3,Eragrostis gummiflua,5.6
B,1,Z3,Q3,Aristida adscensionis,
B,1,Z3,Q3,Bothriochloa insculpta,
B,1,Z3,Q4,Aristida congesta B,5.3
B,1,Z3,Q4,Heteropogon contortus,5.9
B,1,Z3,Q4,Eragrostis gummiflua,5.3
B,1,Z3,Q4,Aristida adscensionis,5.2
B,1,Z3,Q4,Melinis repens,
B,1,Z3,Q4,Themeda triandra,
B,1,Z3,Q4,Setaria sphacelata,
B,1,Z3,Q5,Heteropogon contortus,5.1
B,1,Z3,Q5,Cymbopogon excavatus,5.5
B,1,Z3,Q5,,5.9
B,1,Z3,Q5,,6.5
B,1,Z4,Q1,Eragrostis gummiflua,2.8
B,1,Z4,Q1,Heteropogon contortus,5.7
B,1,Z4,Q1,Cymbopogon excavatus,8.2
B,1,Z4,Q1,Melinis repens,7.1
B,1,Z4,Q1,Bothriochloa insculpta,
B,1,Z4,Q2,Heteropogon contortus,3.8
B,1,Z4,Q2,Cymbopogon excavatus,7
B,1,Z4,Q2,,5.8
B,1,Z4,Q2,,5.8
B,1,Z4,Q3,Cymbopogon excavatus,16.4
B,1,Z4,Q3,Eragrostis superba,17.6
B,1,Z4,Q3,Eragrostis gummiflua,14.9
B,1,Z4,Q3,Aristida congesta B,13.4
B,1,Z4,Q3,Heteropogon contortus,
B,1,Z4,Q4,Heteropogon contortus,4
B,1,Z4,Q4,Cymbopogon excavatus,3.4
B,1,Z4,Q4,Melinis repens,4.8
B,1,Z4,Q4,Bothriochloa insculpta,4.9
B,1,Z4,Q5,Heteropogon contortus,1.9
B,1,Z4,Q5,Eragrostis gummiflua,4.2
