Year,Site,Plot,Subplot,Fenced,Treatment,Species_name,Max_height(m),No_of_resprouts ,Length_of_ longest_ resprout_(cm),Mode_of_resprouting ,Stem_diameter_(cm),Woody_class,Dead (m)
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,2.4,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,2,,,,,,
2024,A,1,Z1,Fenced,C,Carissa bispinosa,2.3,,,,,,
2024,A,1,Z1,Fenced,C,Carissa bispinosa,2.3,,,,,,
2024,A,1,Z1,Fenced,C,Carissa bispinosa,1.4,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Euclea divinorum,1,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Senegalia rehmanniana,1.8,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1,,,,,,
2024,A,1,Z1,Fenced,C,Euclea divinorum,1.3,,,,,,
2024,A,1,Z1,Fenced,C,Carissa bispinosa,0.8,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,0.7,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,0.9,,,,,,
2024,A,1,Z1,Fenced,C,Combretum hereroense,1.7,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia karroo,2.8,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,1,,,,,,
2024,A,1,Z1,Fenced,C,Grewia monticola,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Grewia decomovulata,2.9,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,3,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,3,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,3,,,,,,
2024,A,1,Z1,Fenced,C,Grewia monticola,2,,,,,,
2024,A,1,Z1,Fenced,C,Grewia monticola,2,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia nilotica,2,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.7,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,2,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,2,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,2,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,2,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,2,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Warburgia salutaris,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Bolusanthus speciosus,3,,,,,,
2024,A,1,Z1,Fenced,C,Allophylus africanus,2,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,1,,,,,,
2024,A,1,Z1,Fenced,C,Berchemia zeyheri,1,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,1,,,,,,
2024,A,1,Z1,Fenced,C,Grewia decomovulata,1,,,,,,
2024,A,1,Z1,Fenced,C,Euclea divinorum,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Diospyros lycioides,2,,,,,,
2024,A,1,Z1,Fenced,C,Diospyros lycioides,1.4,,,,,,
2024,A,1,Z1,Fenced,C,Diospyros lycioides,1.4,,,,,,
2024,A,1,Z1,Fenced,C,Diospyros lycioides,1.4,,,,,,
2024,A,1,Z1,Fenced,C,Berchemia zeyheri,2,,,,,,
2024,A,1,Z1,Fenced,C,Berchemia zeyheri,2,,,,,,
2024,A,1,Z1,Fenced,C,Berchemia zeyheri,2,,,,,,
2024,A,1,Z1,Fenced,C,Berchemia zeyheri,2,,,,,,
2024,A,1,Z1,Fenced,C,Berchemia zeyheri,2,,,,,,
2024,A,1,Z1,Fenced,C,Berchemia zeyheri,2,,,,,,
2024,A,1,Z1,Fenced,C,Fluegga virosa,2.5,,,,,,
