Year,Site,Plot,Subplot,Species_name,DPM_Height,Fencing,Treatment,Encroachment_level,Biomass
2024,A,4,Z4,Eragrostis superba,17.8,Unfenced,TF,Moderate,3087
2024,A,4,Z4,Digitaria eriantha,22.1,Unfenced,TF,Moderate,4047
2024,A,5,Z1,Hyparrhenia hirta,12.1,Fenced,THF,Moderate,1865
2024,A,5,Z1,Urochloa mosambicensis,13.8,Fenced,THF,Moderate,2221
2024,A,5,Z1,Hyperrhenia filipendula,13.7,Fenced,THF,Moderate,2200
2024,A,5,Z1,Bothriochloa insculpta,14.2,Fenced,THF,Moderate,2306
2024,A,5,Z1,Urochloa mosambicensis,25.6,Fenced,THF,Moderate,4845
2024,A,5,Z1,Aristida adscensionis,20.8,Fenced,THF,Moderate,3754
2024,A,5,Z1,NA,22.3,Fenced,THF,Moderate,4092
2024,A,5,Z1,NA,22.7,Fenced,THF,Moderate,4183
2024,A,5,Z1,Cymbopogon excavatus,28.2,Fenced,THF,Moderate,5446
2024,A,5,Z1,Bothriochloa insculpta,28.8,Fenced,THF,Moderate,5585
2024,A,5,Z1,Urochloa mosambicensis,31.2,Fenced,THF,Moderate,6146
2024,A,5,Z1,NA,28.8,Fenced,THF,Moderate,5585
2024,A,5,Z1,Hyparrhenia hirta,21,Fenced,THF,Moderate,3799
2024,A,5,Z1,Heteropogon contortus,17.1,Fenced,THF,Moderate,2933
2024,A,5,Z1,Urochloa mosambicensis,21.7,Fenced,THF,Moderate,3956
2024,A,5,Z1,NA,23,Fenced,THF,Moderate,4251
2024,A,5,Z1,Urochloa mosambicensis,17.1,Fenced,THF,Moderate,2933
2024,A,5,Z1,Hyperrhenia filipendula,14.7,Fenced,THF,Moderate,2413
2024,A,5,Z1,Bothriochloa insculpta,21.1,Fenced,THF,Moderate,3821
2024,A,5,Z1,NA,21.4,Fenced,THF,Moderate,3889
2024,A,5,Z2,Urochloa mosambicensis,22.6,Unfenced,THF,Moderate,4160
2024,A,5,Z2,Heteropogon contortus,16.8,Unfenced,THF,Moderate,2867
